"Book Id","ISBN","Bookshelf","Tags","Wishlist","Started Reading On","Ended Reading On","Pages Read","Read","My Rating","Note","Title","Subtitle","Language","Categories","Authors","Illustrators","Translators","Editors","Narrators","Photographers","Publisher","Page Count","Published At","Format","Series","Volume","Loan Type","Loan Name","Loan Start Date","Loan Due Date","Purchase From","Purchase Price","Purchase Date","Description"
"452612","9780715121993","My Books","",0,,,0,0,,,"Common Worship: Daily Prayer",,"en","Christian Prayerbooks","House Publishing Church","","","","","","Church House Pub",896,"2011-06-30","hardcover","Common Worship",,,,,,"Book Depository",,,"Common Worship: Daily Prayer is a rich collection of devotional material including collects, seasonal variants and services of Morning and Evening Prayer. It offers a daily office that will enable those wanting to enrich their quiet times to develop a regular pattern of prayer."
"1889728","9780297821816","My Books","",0,,,0,0,,,"The West: An Illustrated History","An Illustrated History","en","History Of The Americas","Geoffrey C. Ward","","","","","","Orion Publishing Co",445,"1996-01-01","hardcover",,,,,,,,,,
"2180412","9780353501188","My Books","",0,,,0,0,,,"Holy Communion, Preparation and Companion",,"en","History","The Church of England","","","","","","Franklin Classics Trade Press",292,"2018-11-13","paperback",,,,,,,,,,"This work has been selected by scholars as being culturally important and is part of the knowledge base of civilization as we know it.

This work is in the public domain in the United States of America, and possibly other nations. Within the United States, you may freely copy and distribute this work, as no entity (individual or corporate) has a copyright on the body of the work.

Scholars believe, and we concur, that this work is important enough to be preserved, reproduced, and made generally available to the public. To ensure a quality reading experience, this work has been proofread and republished using a format that seamlessly blends the original graphical elements with text in an easy-to-read typeface.

We appreciate your support of the preservation process, and thank you for being an important part of keeping this knowledge alive and relevant."
"2180521","9780230621251","My Books","",0,,,0,0,,,"Religions of the Silk Road: Premodern Patterns of Globalization","Premodern Patterns of Globalization","en","Asian History,Social & Cultural History,Comparative Religion","R. Foltz","","","","","","Palgrave Macmillan",208,"2010-05-15","paperback",,,,,,,,,,"Drawing on the latest research and scholarship, this newly revised and updated edition ofReligions of the Silk Road explores the majestically fabled cities and exotic peoples that make up the romantic notions of the colonial era while examining how cultural traditions also travelled to the people encounted on the Silk Road."
"2180698","9781921509407","My Books","",0,,,0,0,,,"Episcopally led and synodically governed : Anglicans in Victoria : 1803-1997","Anglicans in Victoria : 1803-1997",,"Christianity","James Grant","","","","","","Australian Scholarly Publishing",441,"2010-01-01","paperback",,,,,,,"St Peter's Bookroom",,"2018-10-17","Despite significant involvement in all aspects of community life from the first settlement of the Port Phillip District until now, the contributions of Victoria's Anglicans have gone largely unrecorded. In this a wide-ranging account of Anglican life to 1997, James Grant repairs this omission. He spells out the work of laity, clergy and bishops in establishing parishes, Cathedrals, Schools and Colleges and caring agencies and in pioneering a system of representarive church government that was in step with the emerging democracy of Goldrush Victoria. The impact of the Gold Rushes, the Land Boom and Bank Crash, two World Wars, the Great Depression, post-War immigration and rural depopulation is described. Today's Anglicans face the challenge of commending the Gospel in a very different multicultural and secular environment. This account of their past endeavours should inspire them to make a positive response."
"2180224","9780310230229","My Books","",0,,,0,0,,,"1 and 2 Samuel: A Commentary","A Commentary","en","Religion,Biblical Commentaries,Bible Readings, Selections & Meditations","Robert P. Gordon","","","","","","Zondervan Academic",376,"1999-10-13","paperback",,,,,,,,,,"Robert P. Gordon has provided us with a substantial commentary on the English text of the books of Samuel, concentrating on exegesis, but also paying attention to linguistic and textual problems. ""I have not tried to ""Christianize"" 1 and 2 Samuel at every conceivable point. Often as I have sought to show in the brief introductory section comparison; and the only way to arrive at sensible conclusions in this matter is first to appreciate the Old Testament for its own sake- that is in its own literary, historical, cultural and theological contexts. That is principally what this commentary is about."""
"2180868",,"My Books","",0,,,0,0,,,"The Restoration of the Gospel of Jesus Christ",,"English","Mythology","Unknown","","","","","","The Church of Jesus Christ of the Latter Day Saints",,"2005-01-01",,,,,,,,,,,
"903486","9780805372861","My Books","",0,,,0,0,,,"A&P Applications Manual",,"en","Anatomy,Physiology","Frederic H. Martini","","","","","","Benjamin-Cummings Publishing Company",262,"2005-09-16","paperback",,,,,,,,,,"Focusing on the clinical application of anatomy and physiology, this supplemental textbook describes the structure and function of each major body system, introduces the disorders most commonly affecting each system, and illustrates how the related systems work together. Clinical problems, case studies, and black-and-white photographs are provided."
"275088","9780684826974","My Books","",0,,,0,0,,,"Undaunted Courage: Meriwether Lewis, Thomas Jefferson, and the Opening of the American West","Meriwether Lewis Thomas Jefferson and the Opening of the American West","en","History Of The Americas,Modern History To 20th Century: C 1700 To C 1900,Geographical Discovery & Exploration","Steven Ambrose","","","","","","Simon  Schuster",521,"1997-06-02","paperback",,,,,,,,,,"In this sweeping adventure story, Stephen E. Ambrose, the bestselling author of D-Day, presents the definitive account of one of the most momentous journeys in American history. Ambrose follows the Lewis and Clark Expedition from Thomas Jefferson's hope of finding a waterway to the Pacific, through the heart-stopping moments of the actual trip, to Lewis's lonely demise on the Natchez Trace. Along the way, Ambrose shows us the American West as Lewis saw it -- wild, awsome, and pristinely beautiful. Undaunted Courage is a stunningly told action tale that will delight readers for generations."
"2180303",,"My Books","",0,,,0,0,,,"A Thielicke Trilogy",,,"","Helmut Thielicke","","","","","",,,,,,,,,,,,,,
"2180637",,"My Books","",0,,,0,0,,,"Commentary Of Theodore Of Mopsuestia On The Lord’s Prayer And On The Sacraments Of Baptism And The Eucharist",,"English","Theology,Syriac","A. Mingana","","","","","","W. Heffer & Sons Ltd",464,"1933-01-01",,"Woodbrooke Studies: Christian Documents in Syriac, Arabic, and Garshūni, Edited And Translated With A Critical Apparatus",6,,,,,,,,
"2180972","9780762408337","My Books","",0,,,0,0,,,"Seven Habits of Highly Effective People",,"en","Mind, Body & Spirit","Stephen R. Covey","","","","","","RP Minis",95,"2000-09-26","hardcover",,,,,,,,,,"The priceless wisdom and insight found in the bestselling The 7 Habits of Highly Effective People (more than 10 million sold!) is distilled in this palm-size Running Press Miniature Edition (TM).. It's full of advice on taking control of your life, teamwork, self-renewal, mutual benefit, proactivity, and other paths to private and public victory. Steven R. Covey is chairman of the Covey Leadership Center and the nonprofit Institute for Principle-Centered Leadership."
"2180117","9780140545852","My Books","",0,,,0,0,,,"Prayers from the Ark",,"en","Juvenile Fiction,Westerns","Carmen Bernos De Gasztold","","Rumer Godden","","","","Puffin Books",32,"1995-11-01","paperback",,,,,,,,,,"An illustrated collection of poems, each a prayer by one of the animals in Noah's ark."
"1860569","9780571130139","My Books","",0,,,0,0,,,"01 Philokalia",,"en","Religion","G E Palmer","","","","","","Faber & Faber",384,"1979-01-02","paperback",,,,,,,,,,"The Philokalia is a collection of texts written between the fourth and fifteenth centuries by spiritual masters of the Orthodox Christian tradition. First published in Greek in 1782, translated into Slavonic and later into Russian, The Philokalia has exercised an influence far greater than that of any book other than the Bible in the recent history of the Orthodox Church."
"2181114",,"My Books","",0,,,0,0,,,"The Cathedral Prayer Book","Being the Book of common prayer with the music necessary for the use of choirs, together with the Canticles and Psalter pointed for chanting","English","Theology,Liturgics","Church of England","","","","","","Novello & Company",668,"1891-01-01",,,,,,,,"City Basement Books",,"2018-03-01",
"2180722",,"My Books","",0,,,0,0,,,"The Holy Bible","Revised Standard Version, Containing the Old and New Testaments, Catholic Edition",,"Theology,Biblical Studies","God","","","","","","T. Nelson",,"1966-01-01",,,,,,,,"Vinnies, Pakenham",,"2018-09-08",
"812896","9780851103815","My Books","",0,,,0,0,,,"Cinderella With Amnesia: A Restatement In Contemporary Terms Of The Biblical Doctrine Of The Church","A Restatement in Contemporary Terms of the Biblical Doctrine of the Church","en","Christianity","Michael Griffiths","","","","","","Inter-Varsity Press",176,"1975-01-01","paperback",,,,,,,,,,
"2180852","9781883937034","My Books","",0,,,0,0,,,"Beowulf the Warrior",,"en","Poetry Anthologies (various Poets),Classics,General","Ian Serraillier","Mark Severin","","","","","Bethlehem Books",48,"2004-10-13","paperback",,,,,,,,,,"""Beowulf the Warrior is an outstanding modern version of the oldest epic in the English language. Ian Serraillier has retold in verse the story of the hero Beowulf and his three memorable exploits--first, his rescuing of Hrothgar the Dane from the ravages of monstrous Grendel; next, his victory over Grendel's strange and horrible mother; and finally, in Beowulf's old age, his saving of his own people, the Geats, from the horrors of a dragon at the cost of his life. Beowulf's heroism and noble heart communicate to any modern listener."
"452642","9781610977616","My Books","",0,,,0,0,,,"The Parson's Handbook","Containing Practical Directions for Parsons and Others as to the Management of the Parish Church and Its Services According to the Anglican Use, As Set Forth in the Book of Common Prayer","en","Religion: General,Christian Ministry & Pastoral Activity","Percy Dearmer","","","","","","Wipf & Stock Publishers",496,"2011-12-23","paperback",,,,,,,,,,"The Parson's Handbook, first published in 1899, is Dearmer's brotherly advice to fellow churchmen about the correct way to conduct proper and fitting English worship, concerned with general principles of ritual and ceremonial, but the emphasis is squarely on the side of art and beauty in worship. He was the author of books and pamphlets on church art and history and editor of the hymnbook Songs of Praise in 1931. The Parson's Handbook ran into many editions and he devised The English Hymnal to which composers RalphVaughan Williams and Gustav Holst contributed. In The Parson's Handbook, Dearmer states in the introduction that his goal is to help in ""remedying the lamentable confusion, lawlessness, and vulgarity which are conspicuous in the Church at this time."" What follows is an exhaustive delineation, sparing no detail, of the young priest's ideas on how liturgy can be conducted in a proper Catholic and English manner."
"2181104",,"My Books","",0,,,0,0,,,"The History of St John’s Anglican Church Upper
Beaconfield 1883-1986",,"English","Theology,Church History","John Milligan","","","","","",,,"1993-01-01",,,,,,,,,,,
"2180936","9780140350142","My Books","",0,,,256,1,,,"King Solomon's Mines","Complete and Unabridged","en","Middle Grade Books,Classics,Picture Books","H. Rider Haggard","Paul Hogarth","","","","","Puffin Books",256,"1983-09-29","paperback",,,,,,,,,,"Touted by its 1885 publisher as “the most amazing story ever written,” King Solomon’s Mines was one of the bestselling novels of the nineteenth century. H. Rider Haggard’s thrilling saga of elephant hunter Allan Quatermain and his search for fabled treasure is more than just an adventure story, though: As Alexandra Fuller explains in her Introduction, in its vivid portrayal of the alliances and battles of white colonials and African tribesmen, King Solomon’s Mines “brings us the world of extremes, of the absurdly tall tales and of the illogical loyalty between disparate people that still informs this part of the world.”"
"1069660","9781844744275","My Books","",0,,,0,0,,,"The Difficult Doctrine Of The Love Of God",,"en","Christian Theology","D. A. Carson","","","","","","InterVarsity Press",112,"2010-03-19","paperback",,,,,,,,,,
"2181121","9781856480062","My Books","",0,,,0,0,,,"Anatomy","Descriptive and Surgical","en","Anatomy","Henry Gray","","","","","","HACHETTE LIVRE NZ LIMITED",750,"1991-01-01","paperback",,,,,,,,,,"This special low-priced edition is for sale in India, Bangladesh, Bhutan, Maldives, Nepal, Myanmar, Pakistan and Sri Lanka only. About The Author: Henry Gray, F.R.S., Fellow of the royal college of Surgeons: Lecturer on anatomy at St. George?s Hospital Medical School. Table Of Contents: Descriptive and Surgical Anatomy The Articulations Muscles and Fasclae The Blood-vascular system The Lymphatics The Nervous system The Organs of special sense The Organs of Digestion The Organs of voice and respiration The urinary organs The Male Organs of Generation The Female Organs of Generation The Surgical Anatomy of Hernia Surgical Anatomy of the Perinaeum General Anatomy or Histology Embryology"
"2180197","9781876960094","My Books","",0,,,0,0,,,"Cry of Hope","Jeremiah and Lamentations : Studies for Lent and Other Times",,"Bible","John Harrower","","","","","",,64,"2001-01-01",,,,,,,,,,,
"2180065","9780715207215","My Books","",0,,,0,0,,,"Book Of Common Order Of The Church Of Scotland(New Edition Isbn:0715208306)",,,"Calvinist, Reformed & Presbyterian Churches,Christian Liturgy, Prayerbooks & Hymnals","Church of Scotland Panel on Worship","","","","","","SAINT ANDREW PRESS",700,"1996-01-01","hardcover",,,,,,,,,,"Common Order is the Church of Scotland's latest Book of Common Order, offering a rich provision for worship, faithful to the Bible and to Christian experience. It contains orders for morning and evening services, Holy Baptism and Communion, marriage funerals and occasional services. Also included are prayers for the Christian year and specific graces, a pattern for a daily service and for daily devotion and the Revised Common Lectionary, with appropriate collects."
"2181004","9780957759831","My Books","",0,,,192,1,,,"'Fighting Mc Kenzie' Anzac Chaplain: Tribute To A Hero","Tribute to a Hero",,"Other Nonconformist & Evangelical Churches","Col Stringer Ministries Inc","","","","","","Col Stringer Minstries",192,"2002-09-01","paperback",,,,,,,,,,"Tribute to a hero. After WW1 'Mac' was the most famous man in Australia. He had served the Anzacs on Gallipoli, the Middle East, the Somme, Pozieres and Passchendaele. During this time he led 3,000 to a living faith in Christ as well as burying hundreds of them. ""Mac was a regular hero to the men...To not a few he appeared to be a kind of sueprman, with the power to perform miracles."" Anzac Doctor, The Daily Mirror."
"2181459","9780814660751","My Books","Theology,Liturgy",0,,,0,0,,,"The Origins of the Liturgical Year",,"un","Theology","Thomas J. Talley","","","","","","Pueblo Publishing Company",255,"1991-01-01",,,,,,,,,,,"In this definitive work, Thomas Talley draws on al the resources of historical scholarship to examine and unravel the complications brought to liturgical time by the blending of local traditions. Liturgical time, like al ecclesiastical structures, has interacted with other traditions since the early centuries. Yet Doctor Talley found that the gospel tradition and its liturgical employment shaped the period that comprises the liturgical year. His findings illustrate for the reader that every festival the Church celebrates - very Sunday - is centered primarily and finally in the Eucharist, which from the beginning and always proclaims the Lord's death until he comes."
"2180759","9780814634646","My Books","",0,,,0,0,,,"The Roman Missal: Study Edition",,"en","Christianity,Roman Catholicism, Roman Catholic Church,Christian Worship, Rites & Ceremonies","The Catholic Church,Pope Paul VI","","International Commission on English in the Liturgy","","","","Liturgical Press",1514,"2012-11-01","paperback",,,,,,,"Book Depository",,"2018-05-17","The Roman Missal: Study Edition provides The Roman Missal, Third Edition in a standard book format, a more portable version perfect for liturgists, scholars, and all who wish to use it for planning and study. The content is identical to the ritual version; however, rubrics appear in gray. Fifteen illustrations are included and the book is built to last with durable paper and a sturdy binding."
"2180876","9780851516714","My Books","",0,,,0,0,,,"Holiness: God's Call to Santification","God's Call to Sanctification","en","Religion: General,Christian Theology,Christian Life & Practice","Joel R. Beeke","","","","","","Banner of Truth",25,"1994-01-01","paperback",,,,,,,,,,"What does the Bible mean by holiness and how can we attain it?"
"173253","9780385379311","My Books","",0,,,0,0,,,"And to Think That I Saw It on Mulberry Street",,"en","Picture Books,Humorous Stories,Imagination & Play","Dr. Seuss","","","","","","Random House Books for Young Readers",40,"2013-10-22","ebook",,,,,,,,,,"Dr. Seuss’s very first book for children! From a mere horse and wagon, young Marco concocts a colorful cast of characters, making Mulberry Street the most interesting location in town. Dr. Seuss’s signature rhythmic text, combined with his unmistakable illustrations, will appeal to fans of all ages, who will cheer when our hero proves that a little imagination can go a very long way. (Who wouldn’t cheer when an elephant-pulled sleigh raced by?) Now over seventy-five years old, this story is as timeless as ever. And Marco’s singular kind of optimism is also evident in McElligot’s Pool."
"2181218",,"My Books","",0,,,0,0,,,"Ghost Town Guns",,"English","Fiction,Western Pulp","Marshall Grover","","","","","","Cleveland Publishing",97,"1958-01-01",,"Tumbleweed Westerns",172,,,,,"Centre Court Book Exchange, Pakenham","undefined 0.40","2018-02-20",
"24359","9780141439587","My Books","",0,,,0,0,,,"Emma",,"en","Literary,Classics,Historical","Jane Austen","","","Fiona Stafford","","","Penguin Classics",512,"2003-05-06","paperback",,,,,,,,,,"The culmination of Jane Austen's genius, a sparkling comedy of love and marriage

Now a major motion picture starring Anya Taylor-Joy

Beautiful, clever, rich—and single—Emma Woodhouse is perfectly content with her life and sees no need for either love or marriage. Nothing, however, delights her more than interfering in the romantic lives of others. But when she ignores the warnings of her good friend Mr. Knightley and attempts to arrange a suitable match for her protegee Harriet Smith, her carefully laid plans soon unravel and have consequences that she never expected. With its imperfect but charming heroine and its witty and subtle exploration of relationships,Emmais often seen as Jane Austen's most flawless work.

For more than seventy years, Penguin has been the leading publisher of classic literature in the English-speaking world. With more than 1,700 titles, Penguin Classics represents a global bookshelf of the best works throughout history and across genres and disciplines. Readers trust the series to provide authoritative texts enhanced by introductions and notes by distinguished scholars and contemporary authors, as well as up-to-date translations by award-winning translators."
"122589","9780099433316","My Books","",0,,,0,0,,,"The Bellmaker",,"en","Juvenile Fiction","Brian Jacques","","","","","","Red Fox",336,"1995-08-08","paperback",,,,,,,,,,"Bar all doors! Vicious Foxwolf and his horde of rats are coming to Southsward! Mariel and Dandin, prisoners of the merciless despot, have one slim hope. One chance of escape. But can the legendary freedom fighter, Martin the Warrior, return from the past to save them? Or is it... too late?"
"2180997","9780091331009","My Books","",0,,,0,0,,,"The Brendan Voyage: An Epic Crossing of the Atlantic by Leather Boat",,"en","Travel Writing","Tim Severin","","","","","","Hutchinson Publishing Group",292,"1978-01-01","hardcover",,,,,,,,,,"Could an Irish monk in the sixth century really have sailed all the way across the Atlantic in a small open boat, thus beating Columbus to the New World by almost a thousand years? Relying on the medieval text of St. Brendan, award-winning adventure writer Tim Severin painstakingly researched and built a boat identical to the leather curragh that carried Brendan on his epic voyage. He found a centuries-old, family-run tannery to prepare the ox hides in the medieval way; he undertook an exhaustive search for skilled harness makers (the only people who would know how to stitch the three-quarter-inch-thick hides together); he located one of the last pieces of Irish-grown timber tall enough to make the mainmast. But his courage and resourcefulness were truly tested on the open seas, including one heart-pounding episode when he and his crew repaired a dangerous tear in the leather hull by hanging over the side--their heads sometimes submerged under the freezing waves--to restitch the leather. A modern classic in the tradition of Kon-Tiki, The Brendan Voyage seamlessly blends high adventure and historical relevance. It has been translated into twenty-seven languages since its original publication in 1978.

With a new Introduction by Malachy McCourt, author of A Monk Swimming"
"2181024",,"My Books","",0,,,0,0,,,"Aztecs of Mexico: Origin, Rise, and Fall of the Aztec Nation",,"English","History,South & Central America","George Clapp Vaillant","","","","","","Penguin",312,"1956-01-01",,,,,,,,,,,"An account of the people of Mexico before Columbus, including their institutions, religion, arts, buildings, and daily life."
"2180688","9781862070738","My Books","",0,,,0,0,,,"The Balkans: Nationalism, War and the Great Powers 1804-1999","Nationalism, War and the Great Powers","en","European History,Modern History To 20th Century: C 1700 To C 1900,20th Century History: C 1900  To C 2000","Misha Glenny","","","","","","Granta Books",726,"1999-01-01","paperback",,,,,,,"Frankston Book Exchange",,"2018-11-10","In a timely, passionate survey of Balkan history since the early 29th century Glenny provides essential background to recent events in this war-torn area. No other book covers the entire region & offers such profound insights into the roots of Balkan violence, or explains so vividly the origins of modern Serbia, Croatia, Bosnia, Greece, Bulgaria, Romania & Albania. Many readers will welcome the author's insights into the final century of Ottoman rule, a complex & colorful period affecting today's conflicts. If you ever wondered why Lord Byron died in a remote place called Missolonghi, or exactly what a Young Turk is, or why bullett fired by a Serbian nationalist in the provincial backwater Sarajevo started WWI--it's all here: from the 1st Serbian uprising in 1804 to the latest Serbian shenanigans in Kosovo earlier this year. Glenny's account of each national group in the Balkans & its struggle for statehood is lucid & fair-minded. He brings the culture of different nationalisms to life. The narrative is studded with sharply observed set pieces & portraits of kings, guerillas, bandits, generals & politicians. He interweaves a narrative of key events with the story of international affairs--the relations between states in the Balkans, & between them & the great powers. It's the latter relationship that lies at the heart of this compulsively-readable book. Glenny shows how great-power influence in the region has been catastrophic for the people of the Balkans, & how so-called..."
"1982662","9780801046759","My Books","",0,,,0,0,,,"The Gospel of John, Volume One & Volume Two",,"en","Biblical Studies & Exegesis,Biblical Commentaries,Biblical Exegesis & Hermeneutics","Craig S. Keener","","","","","","Baker Academic",1696,"2010-03-01","paperback",,,,,,,,,,"Keener's commentary explores the Jewish and Greco-Roman settings of John more deeply than previous works, paying special attention to social-historical and rhetorical features of the Gospel. It cites about 4,000 different secondary sources and uses over 20,000 references from ancient literature."
"1073543","9781401245573","My Books","",0,,,0,0,,,"Fairest in All the Land",,"en","Graphic Novels & Manga,Fantasy","Bill Willingham","Various","","","","","Vertigo",160,"2014-11-25","paperback",,,,,,,,,,"In the spirit of FABLES: 1001 NIGHTS OF SNOWFALL and FABLES: WEREWOLVES OF THE HEARTLAND comes the first ever original graphic novel from the pages of #1 New York Times bestselling writer Bill Willingham's FAIREST. 

FAIREST has explored the secret histories of the most stunning beauties in Fabletown: Cinderella, Snow White, Briar Rose, Rapunzel, and the list goes on and on. In FAIREST IN ALL THE LAND, the best names in comics take their turns fleshing out the pasts of the loveliest Fables in existence. For all those wanting to dive into FAIREST or FABLES, this original graphic novel is a fantastic entry point, as well as a great new chapter for those that have been following Bill Willingham's fairy tale epic for years."
"2181252","9780995390164","My Books","",0,,,0,0,,,"Rabbit 23","Youth","English","Poetry","Jessica Wilkinson (Ed.)","","","","","",,,,,"Rabbit Poetry Journal",23,,,,,"Rabbit Poetry",,,
"2180473","9780802822482","My Books","",0,,,0,0,,,"Theological Dictionary of the New Testament, Volume VI",,"en","Religion,Christianity,Biblical Studies & Exegesis","Gerhard Friedrich","","","","","","William B. Eerdmans Publishing Company",1015,"1969-07-03","hardcover",,,,,,,,,,"Substantial articles on 2000+ Greek words that are theologically significant in the New Testament. Traces usage in classical Greek literature, the Septuagint, intertestamental texts, and the New Testament."
"2181221",,"My Books","",0,,,0,0,,,"Sackett",,"English","Fiction,Western","Louis L'Amour","","","","","","Bantam Books",,"1985-04-01",,"Sacketts",,,,,,"Centre Court Book Exchange, Pakenham",,,
